Task 1;Runtime 0.001884
Task 2;Runtime 0.002412
Task 3;Runtime 0.004042
Task 4;Runtime 0.006062
Task 5;Runtime 0.009371
Task 6;Runtime 0.016764
Task 7;Runtime 0.029683
Task 8;Runtime 0.055617
Task 9;Runtime 0.081253
Task 10;Runtime 0.138133
Task 11;Runtime 0.285947
Task 12;Runtime 0.396532
Task 13;Runtime 0.746169
Task 14;Runtime 1.441630
Task 15;Runtime 2.814661
Task 16;Runtime 5.229609
Task 17;Runtime 8.297569
